sourceId,targetId
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ED_HOLD_ARR_MODE_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ED_HOLD_CREATE_DTTM
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ED_HOLD_EX_DTTM
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ED_HOLD_FLAG
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|END_CONT_DATE_REAL
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|EVS_OPT_OUT_FLAG
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|GO_LIVE_DATE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|HAAG_INCLUDE_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|IS_BUNK_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|IVR_NAME
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|LEVEL_OF_CARE_GROUPER_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|PERIOPERATIVE_FLAG
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|PERMANENTLY_CLOSED_DATE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|POOL_BED_FLAG
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|RECORD_STATE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ROOM_ID
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|SERVICE_GROUPER_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|SVC_PRIORITY_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|TELEPHONE_NUMBER
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|BUS_DAY_CT
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|CALENDAR_DT
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|CALENDAR_DT_STR
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|DAY_OF_MONTH
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|DAY_OF_THE_WEEK_CODE
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|DAY_OF_WEEK
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|DAY_OF_WEEK_INDEX
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|DAY_OF_YEAR
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|HOLIDAY_FLAG
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|INSTANT_AT_MIDNIGHT
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|INTERNAL_DAT
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|INTERNAL_DTE
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|LAST_FRIDAY_DT
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|LEAP_YEAR_FLAG
emr|dbo|CALENDAR_DATES,emr|dbo|CALENDAR_DATES|MONTHNAME_YEAR
